elec_buy.emission_factor,elec_sell.emission_factor,elec_buy.variable_costs,elec_sell.variable_costs,weather.temperature,pv.fix,demand_heat.fix,dhs.temp_forward,dhs.temp_return,dhs_loss.fix,t_hp_air.eff_out_1,t_hp_air.max,t_hp_geo.eff_out_1,t_hp_ely.eff_out_1,t_hp_ely.eff_in_2,demand_elec.fix
0.545464386,-0.545464386,0.18,-0.04,0.2,0,1221.589888,65,45,44.60534634,1.980369213,0.645602212,3.11098,11.40692667,10.40692667,111.1839774
0.539921151,-0.539921151,0.18,-0.04,0.3,0,1265.33158,65,45,44.60534634,1.983430062,0.646799804,3.11098,11.40692667,10.40692667,99.19709171
0.533868364,-0.533868364,0.18,-0.04,0.2,0,1279.220958,65,45,44.60534634,1.980369213,0.645602212,3.11098,11.40692667,10.40692667,81.86942511
0.519474191,-0.519474191,0.18,-0.04,0.3,0,1281.669979,65,45,44.60534634,1.983430062,0.646799804,3.11098,11.40692667,10.40692667,75.44739481
0.505195237,-0.505195237,0.18,-0.04,0.3,0,1282.512416,65,45,44.60534634,1.983430062,0.646799804,3.11098,11.40692667,10.40692667,67.19120177
0.48950561,-0.48950561,0.18,-0.04,0.5,0,1282.809842,65,45,44.60534634,1.989580233,0.649207247,3.11098,11.40692667,10.40692667,63.82827054
0.471666764,-0.471666764,0.18,-0.04,0.1,0,1286.90118,65,45,44.60534634,1.977317797,0.644408678,3.11098,11.40692667,10.40692667,65.98169017
0.458032748,-0.458032748,0.18,-0.04,0.2,0,1325.623512,65,45,44.60534634,1.980369213,0.645602212,3.11098,11.40692667,10.40692667,80.20076262
0.450033229,-0.450033229,0.18,-0.04,0.4,0,1347.773289,65,45,44.60534634,1.986500387,0.648001476,3.11098,11.40692667,10.40692667,95.3158882
0.444519848,-0.444519848,0.18,-0.04,0,0,1371.798461,65,45,44.60534634,1.974275769,0.643219184,3.11098,11.40692667,10.40692667,121.3148989
0.439982388,-0.439982388,0.18,-0.04,0,0,1356.657858,65,45,44.60534634,1.974275769,0.643219184,3.11098,11.40692667,10.40692667,211.9865477
0.431581867,-0.431581867,0.18,-0.04,0.1,0.030747029,1372.238886,65,45,44.60534634,1.977317797,0.644408678,3.11098,11.40692667,10.40692667,273.2921648
0.418851697,-0.418851697,0.18,-0.04,0.3,0.020846708,1333.524541,65,45,44.60534634,1.983430062,0.646799804,3.11098,11.40692667,10.40692667,277.1631361
0.408264811,-0.408264811,0.18,-0.04,0.5,0.022128748,1304.698579,65,45,44.60534634,1.989580233,0.649207247,3.11098,11.40692667,10.40692667,265.3701121
0.39742799,-0.39742799,0.18,-0.04,0.6,0.029730959,1277.783091,65,45,44.60534634,1.992669643,0.650417137,3.11098,11.40692667,10.40692667,236.3743461
0.38965355,-0.38965355,0.18,-0.04,0.6,0.018953891,1262.075867,65,45,44.60534634,1.992669643,0.650417137,3.11098,11.40692667,10.40692667,198.0034236
0.396862945,-0.396862945,0.18,-0.04,0.5,0.028057842,1254.950283,65,45,44.60534634,1.989580233,0.649207247,3.11098,11.40692667,10.40692667,178.6537213
0.403955535,-0.403955535,0.18,-0.04,0.6,0.015768333,1241.930602,65,45,44.60534634,1.992669643,0.650417137,3.11098,11.40692667,10.40692667,199.4767832
0.405681923,-0.405681923,0.18,-0.04,0.2,0,1219.459417,65,45,44.60534634,1.980369213,0.645602212,3.11098,11.40692667,10.40692667,197.5665264
0.406434566,-0.406434566,0.18,-0.04,0.2,0,1212.136715,65,45,44.60534634,1.980369213,0.645602212,3.11098,11.40692667,10.40692667,175.1645154
